Ticker,Company Name,Revenue,Profit,Net Margin %,PBT,PAT,ROA,ROE,EPS
PZ,PZ Cussons Nigeria PLC,260456428000.0,46821683000.0,17.9767815137202,77318309999.99991,46821683000.0,28.3742612946764,172.126801646432,9.4246
REDSTAREX,Red Star Express PLC,24670583000.0,890408000.0,3.6091891302285,1340954999.9999995,890408000.0,7.9657543630877905,17.0154184601108,0.9329
REGALINS,Regency Alliance Insurance PLC,11073746000.0,,,,,2.97751688557067,4.42673703829974,
ROYALEX,Royal Exchange PLC,844082000.0,-595924000.0,-70.6002497387695,-384924000.0000005,-595924000.0,-5.11582116654225,-7.71298397300267,-0.0761
RTBRISCOE,RT Briscoe Plc,48689415000.0,3356054000.0,6.89277946757011,3516289000.000001,3356054000.0,21.273047146995,,2.8529
SCOA,SCOA Nigeria PLC,9942201590.0,230899980.0,2.32242303588214,600549649.9999999,230899980.0,1.20744583161297,10.7475011010488,0.3554
SFSREIT,SFS Real Estate Investment Trust,457181000.0,662757000.0,144.965998149529,662756999.9999982,662757000.0,13.381277272077503,15.3877140587775,33.1378
SKYAVN,Skyway Aviation Handling Co. Plc,46403178000.0,7554389000.0,16.2798957433476,10168777999.99999,7554389000.0,10.8296300911281,14.992961272341102,5.581
SOVRENINS,Sovereign Trust Insurance PLC,36891050000.0,-2875000.00000023,-0.00779321813827535,154999000.00000003,-2875000.00000023,-0.00836427521176993,-0.014765242782834002,-0.0002
STACO,Staco Insurance PLC,,,,,,,,
STANBIC,Stanbic IBTC Holdings Plc,1235164000000.0,409183000000.0,40.38481657306975,600700000000.0002,409183000000.0,4.78584780512042,41.0400247132996,25.5839
STERLINGNG,Sterling Financial Holdings Company Limited,550408000000.0,87156000000.0,15.8347989128065,100715000000.00005,87156000000.0,1.99245912425162,18.8897943614107,1.4617
SUNUASSUR,SUNU Assurances Nigeria Plc,25546252000.0,925628000.0,3.62334169411622,992995000.0000006,925628000.0,2.98167462673903,6.596280910401761,0.1593
TANTALIZER,Tantalizers PLC,1506224640.0,143744026.0,9.5433325270791,154704929.99999937,143744026.0,1.56223616699719,4.8653642003695,0.0288
THOMASWY,Thomas Wyatt Nigeria Plc,,,,,,,,
TIP,Initiates PLC,14805279875.0,4333459852.0,29.269692221877,6806018023.000004,4333459852.0,29.2709140602488,42.0352084310831,4.3678
TOTAL,TotalEnergies Marketing Nigeria Plc,787727508000.0,-9371583000.0,-1.18969858292672,-4102712000.000004,-9371583000.0,-2.18758312090099,-16.8652588875744,-27.6023
TRANSCOHOT,Transcorp Hotels PLC,93894300000.0,23728552000.0,25.2715574853852,34281455000.000046,23728552000.0,13.522740454098,26.939945743294103,2.3167
TRANSCORP,Transnational Corporation of Nigeria PLC,505992717000.0,77201712000.0,15.2574749410869,169689791000.00012,77201712000.0,7.693665598772361,36.5668420489408,7.5971
